Name,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,3,6,9,12,15,17,18,20,21,22,22,22,23,35,36,37,39,39,39,44,49,49,50,52,55,62,65,66,70,71,72,75,81,83,85,89
AFG,8,12,18,21,21,24,24,27,29,30,31,32,36,37,37,40,41,45,46,48,50,51,52,55,59,66,71,73,76,81,83,87,89,91,94,94
AGO,1,3,4,6,13,14,21,24,26,27,28,28,30,39,42,45,50,50,50,51,57,59,61,67,71,73,82,84,84,88,89,89,90,92,92,93
AIA,2,9,10,16,17,19,25,26,39,39,39,42,47,48,50,56,61,63,64,64,67,68,69,72,75,79,79,81,83,84,86,87,90,91,98,99
ALB,2,5,7,11,12,12,14,16,19,20,21,22,30,36,41,42,56,57,60,60,61,70,74,74,75,79,84,84,89,90,92,95,96,97,97,99
AND,1,2,5,21,23,24,36,38,41,47,49,51,52,57,58,58,62,67,74,76,76,79,82,82,84,85,86,87,87,89,90,92,95,95,96,98
ANT,1,3,8,9,13,17,20,25,26,28,32,35,35,38,42,47,48,50,53,53,58,58,59,68,69,70,71,73,80,80,83,89,90,91,94,98
ARE,1,3,6,7,18,22,28,30,35,38,46,47,47,49,49,50,52,56,57,59,59,67,71,75,77,78,80,80,82,85,86,87,89,91,96,97
ARG,2,8,9,10,12,19,22,24,24,34,36,38,40,41,42,45,47,50,54,54,56,56,57,60,60,64,66,66,67,71,81,83,87,93,93,99
ARM,6,6,8,10,10,14,17,19,27,39,40,41,43,47,48,49,52,52,53,55,55,57,59,69,72,72,73,82,83,84,85,88,91,91,93,98
ASM,15,15,17,20,22,25,25,27,28,31,32,36,39,43,48,49,49,53,59,59,60,61,66,69,70,71,74,74,75,76,83,90,95,97,98,99
ATA,1,3,6,16,18,24,28,29,31,34,35,35,36,40,40,43,49,52,55,58,59,59,60,64,71,73,73,75,85,86,88,89,94,94,94,98
ATF,1,3,6,7,7,11,15,21,22,25,31,31,32,34,36,36,37,44,45,51,53,55,55,59,60,61,63,64,66,68,69,73,75,75,82,89
