Name,Latitude,Longitude,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,12.5,-69.96667,7,9,9,11,17,20,23,26,30,33,35,38,42,42,45,46,48,49,50,52,60,60,66,69,70,73,78,80,82,88,88,90,91,91,93,96
AFG,33,66,4,5,9,13,15,16,17,22,23,29,30,35,35,35,40,44,45,47,55,56,57,58,58,59,61,69,72,76,80,81,91,92,94,94,95,98
AGO,-12.5,18.5,1,2,15,16,20,23,24,25,25,28,30,34,35,41,41,41,46,48,50,50,53,53,54,54,62,63,64,72,74,75,80,84,90,91,95,98
AIA,18.21667,-63.05,1,1,3,3,9,14,16,18,21,23,29,29,30,31,34,35,37,38,42,46,48,55,57,57,58,61,69,73,77,79,79,80,83,84,85,90
ALB,41,20,3,3,6,7,12,13,14,16,19,23,23,26,30,33,33,33,46,47,49,50,52,63,64,65,68,70,71,71,73,73,77,80,83,87,91,92
AND,42.50779,1.52109,3,5,5,9,11,13,16,18,19,21,22,24,30,31,37,37,39,39,47,49,51,52,53,54,54,62,64,67,71,72,73,82,89,95,95,99
ARE,23.75,54.5,4,6,9,10,10,16,24,30,30,32,32,33,35,37,39,40,40,49,50,52,53,53,54,55,60,63,69,76,79,81,83,85,85,92,97,98
ARG,-34,-64,3,6,9,9,13,16,17,17,18,18,23,24,25,33,33,35,38,38,40,43,44,47,57,58,60,67,69,70,75,76,78,80,83,88,94,96
ARM,40.25,45,4,7,13,16,18,22,25,28,31,34,36,39,42,46,47,54,55,55,56,56,56,65,67,68,71,74,75,79,79,81,93,94,95,96,97,98
ASM,-11.056,-171.082,1,1,9,16,17,17,17,23,25,26,26,29,41,45,48,54,55,55,65,72,72,72,73,73,73,74,75,82,86,88,88,92,92,92,97,99
ATA,-90,0,7,8,8,14,17,17,27,32,41,43,44,47,47,48,54,54,55,55,58,62,63,66,66,69,69,71,73,73,80,81,85,91,94,95,96,98
ATF,-48.97706304663106,68.62745957299693,3,4,7,7,8,8,11,14,24,25,26,26,29,32,33,34,37,38,46,48,51,57,63,64,65,65,70,70,72,80,84,92,93,97,98,99
ATG,17.05,-61.8,3,4,7,9,14,16,20,24,26,27,30,33,36,37,38,43,45,45,46,49,50,51,53,54,65,65,67,69,70,75,76,80,80,80,92,92
AUS,-25,135,2,2,2,4,5,9,10,13,17,19,21,26,27,33,34,37,38,43,50,52,52,65,67,68,70,71,73,81,84,87,88,92,94,95,95,97
AUT,47.33333,13.33333,2,8,9,9,17,20,24,24,29,30,36,38,39,44,55,60,63,64,66,69,72,74,78,78,78,81,81,85,88,91,93,93,95,95,96,97
AZE,40.5,47.5,3,4,4,6,8,8,13,15,26,28,30,31,34,38,41,41,46,49,49,49,58,64,67,68,71,77,81,82,83,84,86,89,92,92,98,99
BDI,-3.5,30,1,1,7,7,7,8,11,14,19,20,22,28,29,35,36,40,42,49,57,58,59,60,63,65,66,66,67,75,75,83,84,85,91,93,96,96
BEL,50.75,4.5,4,9,11,11,13,16,21,21,27,30,32,37,37,40,42,44,45,45,48,52,52,53,57,58,70,71,73,74,76,77,84,85,86,94,96,98
BEN,9.5,2.25,6,6,7,8,9,11,12,14,14,19,21,23,23,26,28,29,32,33,39,39,42,44,48,53,56,60,66,66,69,70,73,77,81,82,86,87
BFA,12.5,-1.66667,2,4,4,8,10,16,19,19,19,20,23,23,23,28,29,31,32,36,37,38,38,45,52,55,57,59,61,62,64,64,75,79,87,87,90,98
BGD,24,90,7,10,13,14,18,18,25,25,32,33,35,43,47,51,52,52,53,54,55,57,57,59,63,68,69,77,78,79,83,86,90,93,94,94,97,99
BGR,42.66667,25.25,3,3,11,11,11,13,23,26,26,31,33,34,34,34,40,41,42,45,47,49,51,59,60,61,68,69,72,73,75,77,85,86,87,89,97,99
BHR,26.03333,50.55,2,2,17,19,21,24,28,28,31,33,36,39,40,52,54,57,59,60,60,68,69,78,78,80,82,82,84,84,84,85,90,90,92,95,95,96
BHS,25.04082,-77.37122,1,3,9,9,11,13,16,18,18,20,22,26,35,37,40,41,42,44,50,50,50,50,52,53,53,61,62,63,67,71,76,77,82,90,95,99
BIH,44.25,17.83333,7,7,7,8,8,8,14,16,19,22,22,29,31,31,39,42,48,48,51,57,58,63,74,76,76,82,84,85,87,88,90,91,91,94,95,98
BLR,53,28,2,10,12,20,20,23,25,26,27,33,35,40,46,47,53,55,56,59,62,63,63,64,66,74,75,77,78,79,87,91,92,93,96,97,98,99
BLZ,17.49952,-88.19756,2,5,9,15,20,20,21,22,23,25,25,32,33,34,35,35,37,39,40,41,45,46,51,52,53,61,62,68,72,79,80,82,84,89,89,93
