latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-7.16396,-52.63208,306.46,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.75,0.65,N
-7.16268,-52.47938,306.55,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,292.45,0.8,N
-7.13591,-52.58593,303.11,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.48,0.62,N
-7.13534,-52.58964,307.62,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.13,0.62,N
-7.13058,-52.48187,310.53,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.45,0.9,N
-7.07544,-52.82243,307.72,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.9,1.58,N
-7.07038,-52.83353,307.32,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,292.18,0.96,N
-7.06981,-52.83716,305.33,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.31,0.96,N
-7.0841,-52.72271,306.29,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,289.59,1.11,N
-7.06698,-52.83298,324.55,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,292.57,2.28,N
-7.04485,-52.79578,304.42,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,290.18,0.99,N
-7.04201,-52.79158,300.93,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,287.25,0.99,N
-7.06925,-52.47733,304.44,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,293.43,1.61,N
-7.06124,-52.48368,309.82,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,293.25,1.65,N
-7.0091,-52.80154,303.55,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,290.59,0.59,N
-7.00569,-52.80106,303.03,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,290.25,0.59,N
-7.05548,-52.42888,307.68,0.42,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,292.51,0.95,N
-7.03311,-52.46006,305.11,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.54,0.61,N
-7.02967,-52.45956,306.47,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,292.2,0.61,N
-6.87099,-52.83667,314.14,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.66,1.43,N
-6.92546,-52.43256,304.5,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.55,0.76,N
-6.92202,-52.43204,301.7,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.11,0.5,N
-6.83355,-52.85368,303.42,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,290.68,1.17,N
-6.83299,-52.85732,306.23,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,290.58,1.35,N
-6.83072,-52.84952,307.37,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.11,1.17,N
-6.82959,-52.85678,318.51,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.7,1.35,N
-6.83015,-52.85315,323.3,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.8,1.17,N
-6.8883,-52.43159,306.74,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.48,0.87,N
-6.88084,-52.43427,312.5,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.96,1.3,N
-6.72535,-52.67235,311.06,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.51,1.06,N
-6.70906,-52.41175,309.17,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.31,0.69,N
-6.15877,-52.75114,310.75,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,289.99,1.41,N
-6.15482,-52.75424,314.67,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,290.35,1.84,N
-6.15535,-52.72829,307.58,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,290.83,1.42,N
-5.99504,-53.62971,300.44,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,273.04,1.79,N
-5.99449,-53.6332,329.14,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,273.17,1.79,N
-5.99171,-53.6292,315.35,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,274.26,1.79,N
-5.99116,-53.63268,324.45,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,273.5,1.79,N
-6.12709,-52.73131,309.55,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,290.59,1.66,N
-5.98729,-53.63565,297.65,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,270.18,0.57,N
-5.98675,-53.63913,298.61,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,273.4,0.57,N
-6.12314,-52.73445,303.84,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,290.85,0.73,N
-6.1237,-52.7308,326.18,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.83,1.66,N
-6.04373,-53.20575,304.79,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,288.16,0.94,N
-6.08559,-52.65845,299.73,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,282.84,0.7,N
-6.0822,-52.6579,305.91,0.4,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,283.92,0.7,N
-5.90338,-53.71893,301.17,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,279.75,0.96,N
-5.90284,-53.7224,308.53,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,282.78,0.99,N
-5.90229,-53.72588,307.44,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,283.4,0.99,N
-5.9006,-53.71494,300.43,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,272.01,0.92,N
-5.90005,-53.71841,313.88,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,277.47,0.92,N
-5.89951,-53.72188,319.9,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,282.82,2.03,N
-5.89897,-53.72536,316.72,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,284.54,2.03,N
-5.89727,-53.71441,301.3,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,270.52,0.92,N
-5.89673,-53.71789,314.23,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,274.05,0.92,N
-5.89618,-53.72136,318.41,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,280.66,2.03,N
-5.8934,-53.71737,298.15,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,271.22,0.49,N
-5.88252,-53.78686,303.24,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,288.49,1.54,N
-5.88307,-53.78339,323.12,0.39,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,289.48,1.54,N
-5.82816,-53.83547,300.35,0.38,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,280.87,0.59,N
-5.82483,-53.83495,303.12,0.38,0.36,2022-09-01,0457,N,VIIRS,n,2.0NRT,283.64,0.59,N
-7.1788,-52.62679,306.97,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.5,1.4,N
-7.17824,-52.63048,302.32,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,291.43,1.4,N
-7.1748,-52.62998,315.12,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,293.07,1.4,N
-7.17537,-52.6263,323.37,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,292.94,1.4,N
-7.17137,-52.62949,309.95,0.41,0.37,2022-09-01,0457,N,VIIRS,n,2.0NRT,292.91,1.79,N
